"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TBX5-AS1",191.348420872962,-11.0962235537405,4.001252555417,-2.7731874956801,0.00555101274784761,0.15877294195867
"ADH1B",3207.22103715018,-9.5970941913201,0.843409746450557,-11.3789225601304,5.32535779245769e-30,8.46891649734546e-26
"CCL11",62.0134494491766,-8.72583074548048,1.77842079386178,-4.90650512836877,9.27135658350251e-07,0.000201975868147179
"TBX5",301.090867522763,-7.73190842245506,2.88994479714802,-2.67545194291787,0.0074628571645475,0.194241927148607
"GATA5",35.5871361083934,-7.17604691890638,1.76359708600835,-4.06898320247758,4.72187509782656e-05,0.00487610257667116
"TCF21",98.4090823123171,-7.03533236332212,1.21500284591796,-5.79038344392254,7.0225917265231e-09,2.79200690567242e-06
"SSTR1",101.770016976837,-6.84417747558516,1.19192351877137,-5.74212805418935,9.34940753865375e-09,3.45775879272583e-06
"CSF3",258.255444463308,-6.83079357999635,0.943795644789718,-7.23757692431213,4.56771684681881e-13,4.8426934009973e-10
"GSTA2",44.1600134217769,-6.82634279831574,1.76694165305517,-3.86336627840116,0.000111835125104296,0.00931159159441684
"WIF1",399.781897275985,-6.79015145430208,0.921140144911419,-7.37146404031176,1.6876428932797e-13,2.19169486843298e-10
"FENDRR",407.854866663498,-6.76177703543618,0.884625737806649,-7.64365849472275,2.11134946414739e-14,3.05243550257599e-11
"BMP5",406.949573900436,-6.74208499289125,0.859897868886831,-7.84056483547183,4.4852427136266e-15,7.92542387497819e-12
"COL6A6",617.835825749797,-6.51978590029917,0.641822655325456,-10.158235840075,3.04536812266041e-24,1.61434964182228e-20
"SCN7A",863.593283442793,-6.51644366681101,0.620149621123769,-10.507857208721,7.94788563258732e-26,6.31976126075181e-22
"MEOX2",207.563210226904,-6.46151445775843,0.948874211457646,-6.80966389405013,9.78270273832217e-12,7.40830103083512e-09
"KLK11",72.3912314393226,-6.13829707240609,1.27818137609528,-4.80236779161811,1.5680034591652e-06,0.000311699487638801
"AGTR2",21.6356733140367,-6.11790237386074,2.12980442282616,-2.87251839102791,0.00407214376351408,0.128424663936251
"PRND",58.7118964898826,-5.80159632917336,1.36551072439716,-4.24866405332306,2.15049132611391e-05,0.00264014040604703
"TBX4",565.928775037266,-5.79775255824615,0.605677380636088,-9.57234452466641,1.04508369582937e-21,3.3239932029549e-18
"EPGN",26.6267594645184,-5.77687256359969,1.87616500011288,-3.07908556190533,0.00207637039341501,0.0789964554221983
"ANKRD1",763.546411488358,-5.6547224269715,0.979593250360752,-5.77252081401036,7.80942941056254e-09,2.98360213252081e-06
"C8B",24.1606365695311,-5.64076811695638,1.78333960435672,-3.16303641952206,0.00156132797916965,0.0660366990764226
"SLC6A4",279.417827751587,-5.57879971554293,0.974963601109392,-5.72205947913843,1.05240448387757e-08,3.80372466070567e-06
"PRG4",625.707016862299,-5.55338944067795,0.683565516400813,-8.12415095178921,4.50504805080233e-16,1.19406298586516e-12
"CILP",322.493423142138,-5.55235514274338,0.790342231859141,-7.02525427457222,2.13676752078696e-12,1.88783410461528e-09
"SERTM1",33.1554781797481,-5.49411300517918,1.71868087787365,-3.19670339963082,0.00139007782115243,0.0617182796438628
"KRT5",68.6259866070885,-5.35501989363425,1.29694706777333,-4.12894251947231,3.64435488573372e-05,0.00388967622468613
"KLK10",31.502216500339,-5.32096465445898,1.59843168444545,-3.3288658540981,0.000872003934625851,0.0430940403814315
"MFAP4",4987.56444411508,-5.27462814240435,0.843661801576715,-6.25206466921536,4.05061589331662e-10,2.12989250200663e-07
